DATE,TIME,STATE,DURATION,ENERGY DRAINED PERCENT,ENERGY DRAINED
2025-03-28,18:19:42,Active,0:00:00,-,0.0
2025-03-28,18:19:43,Connected standby,0:00:00,-,0.0
2025-03-28,18:19:43,Active,0:48:23,19 %,13687.0
2025-03-28,19:08:07,Connected standby,0:21:17,1 %,603.0
2025-03-28,19:29:24,Active,0:00:13,-,190.0
2025-03-28,19:31:02,Connected standby,0:00:31,-,142.0
2025-03-28,19:31:33,Active,0:00:31,-,238.0
2025-03-28,19:32:04,Connected standby,0:01:14,-,206.0
2025-03-28,19:33:19,Active,0:00:32,-,223.0
2025-03-28,19:33:51,Connected standby,0:00:36,-,142.0
2025-03-28,19:34:28,Active,0:00:31,-,222.0
2025-03-28,19:34:59,Connected standby,0:00:28,-,127.0
2025-03-28,19:35:27,Active,0:47:49,15 %,11419.0
2025-03-28,20:23:16,Connected standby,0:03:20,-,349.0
2025-03-28,20:26:37,Active,0:11:24,4 %,2903.0
2025-03-28,20:38:02,Connected standby,0:15:10,2 %,1284.0
2025-03-28,21:53:49,Connected standby,0:00:35,-,238.0
2025-03-28,21:54:59,Connected standby,0:00:35,-,254.0
2025-03-28,21:56:09,Connected standby,0:00:35,-,143.0
2025-03-28,21:56:44,Active,0:40:24,15 %,11308.0
2025-03-28,23:54:45,Active,0:27:34,11 %,7771.0
2025-03-28,00:23:16,Active,0:04:27,4 %,3029.0
2025-03-28,18:02:13,Active,1:48:42,43 %,31974.0
2025-03-31,12:15:23,Active,0:02:51,3 %,2411.0
2025-03-31,13:35:46,Active,0:04:00,1 %,968.0
2025-03-31,13:39:47,Connected standby,0:03:51,1 %,444.0
2025-03-31,13:43:38,Active,0:49:09,20 %,15146.0
2025-03-31,14:32:48,Connected standby,0:25:34,1 %,777.0
2025-03-31,14:59:00,Connected standby,0:00:35,-,254.0
2025-03-31,14:59:35,Active,0:30:29,13 %,9325.0
2025-03-31,15:30:04,Connected standby,0:27:13,1 %,555.0
2025-03-31,15:57:17,Active,1:51:28,49 %,36320.0
2025-03-31,18:17:24,Active,0:34:43,15 %,11086.0
2025-03-31,18:52:07,Connected standby,0:11:21,1 %,444.0
2025-03-31,19:03:28,Active,0:04:11,2 %,1221.0
2025-03-31,19:07:40,Connected standby,0:00:13,-,64.0
2025-03-31,19:07:54,Active,0:00:32,-,237.0
2025-03-31,19:08:26,Connected standby,0:03:21,1 %,540.0
2025-03-31,19:11:48,Active,0:00:09,-,95.0
2025-03-31,19:42:15,Active,0:17:11,7 %,5139.0
2025-03-31,20:02:00,Active,0:01:05,1 %,745.0
2025-03-31,20:03:05,Connected standby,0:28:45,4 %,2728.0
2025-04-01,07:41:41,Connected standby,0:00:35,-,317.0
2025-04-01,07:42:51,Connected standby,0:00:35,-,238.0
2025-04-01,07:43:27,Active,0:19:15,9 %,6582.0
2025-04-01,08:55:27,Active,0:00:57,1 %,714.0
2025-04-01,08:56:24,Connected standby,0:00:02,-,47.0
2025-04-01,08:56:26,Active,0:08:51,5 %,3331.0
2025-04-01,09:05:18,Connected standby,0:02:15,-,111.0
2025-04-01,09:07:34,Active,0:32:03,15 %,10848.0
2025-04-01,09:39:37,Connected standby,0:14:24,1 %,555.0
2025-04-01,09:54:01,Active,0:33:33,15 %,10849.0
2025-04-01,10:27:35,Connected standby,0:08:06,-,269.0
2025-04-01,10:35:42,Active,0:06:41,3 %,2236.0
2025-04-01,12:03:08,Active,0:00:55,1 %,682.0
2025-04-01,12:04:03,Connected standby,4:01:38,-,-1206.0
2025-04-01,16:06:17,Connected standby,0:00:35,-,-730.0
2025-04-01,16:28:01,Active,0:00:25,-,174.0
2025-04-01,16:51:35,Active,0:00:06,-,48.0
2025-04-01,16:52:04,Active,0:26:17,11 %,7787.0
2025-04-01,18:00:10,Active,0:50:31,27 %,19983.0
2025-04-02,08:11:39,Active,0:07:36,5 %,3568.0
2025-04-02,08:19:16,Connected standby,0:00:24,-,127.0
2025-04-02,08:19:40,Active,0:00:23,-,254.0
2025-04-02,12:09:24,Active,2:00:36,72 %,51656.0
2025-04-02,14:39:48,Active,0:08:48,6 %,4504.0
